LSOA21CD,LSOA21NM,borough,inner_outer,population,charger_count,chargers_per_10k,pct_car_owning_households,pct_flats_apartments,imd_decile,priority_score
E01004218,Tower Hamlets 030D,Tower Hamlets,Inner,1951.0,10.0,51.255766273705795,47.08121827411168,58.06861499364676,6,40.81
E01003940,Southwark 006B,Southwark,Inner,1541.0,10.0,64.89292667099286,30.441640378548897,98.10126582278481,3,40.81
E01001146,Croydon 006A,Croydon,Outer,1542.0,1.0,6.485084306095979,70.41322314049587,17.549668874172188,5,40.8
E01000569,Brent 008E,Brent,Outer,1432.0,0.0,0.0,87.60330578512396,1.4553014553014554,8,40.76
E01000546,Brent 028B,Brent,Outer,1584.0,9.0,56.81818181818181,40.05305039787798,77.3635153129161,3,40.76
E01001940,Hammersmith and Fulham 005B,Hammersmith and Fulham,Inner,1571.0,9.0,57.28835136855506,34.132581100141046,89.13963328631876,3,40.74
E01000513,Brent 002A,Brent,Outer,1617.0,4.0,24.73716759431045,80.98290598290599,6.396588486140725,4,40.74
E01003177,Lambeth 020D,Lambeth,Inner,1573.0,2.0,12.714558169103624,36.97604790419162,79.22272047832585,4,40.73
E01001920,Hammersmith and Fulham 020A,Hammersmith and Fulham,Inner,1477.0,7.0,47.39336492890995,31.185567010309278,86.95090439276485,2,40.73
E01033325,Lewisham 008F,Lewisham,Inner,1340.0,0.0,0.0,27.816411682892905,98.18941504178274,8,40.71
E01002869,Kensington and Chelsea 009E,Kensington and Chelsea,Inner,1657.0,5.0,30.175015087507546,40.720961281708945,87.29946524064172,5,40.71
E01000413,Bexley 018F,Bexley,Outer,1392.0,0.0,0.0,84.92366412213741,7.45697896749522,8,40.7
E01002789,Islington 008D,Islington,Inner,1842.0,8.0,43.43105320304017,51.66666666666667,67.82051282051282,7,40.7
E01003671,Redbridge 007D,Redbridge,Outer,1510.0,0.0,0.0,91.02333931777379,3.9568345323741005,10,40.7
E01004372,Waltham Forest 023C,Waltham Forest,Outer,1609.0,2.0,12.430080795525171,50.86705202312138,79.71014492753623,7,40.68
E01003860,Richmond upon Thames 002E,Richmond upon Thames,Outer,1743.0,3.0,17.21170395869191,66.75224646983312,41.6988416988417,8,40.67
E01000303,Barnet 020D,Barnet,Outer,1511.0,0.0,0.0,78.08988764044943,20.825515947467167,10,40.66
E01000538,Brent 004B,Brent,Outer,1609.0,1.0,6.215040397762586,91.9753086419753,2.0618556701030926,8,40.65
E01033735,Greenwich 042D,Greenwich,Outer,1334.0,3.0,22.488755622188908,23.64864864864865,98.1418918918919,2,40.64
E01001484,Enfield 016C,Enfield,Outer,1426.0,2.0,14.025245441795231,78.4,3.0,3,40.64
E01000395,Bexley 018B,Bexley,Outer,1557.0,0.0,0.0,85.71428571428571,3.2846715328467155,10,40.63
E01002115,Harrow 002B,Harrow,Outer,1419.0,1.0,7.047216349541931,86.69275929549902,2.564102564102564,5,40.63
E01002881,Kensington and Chelsea 005E,Kensington and Chelsea,Inner,1362.0,6.0,44.05286343612335,42.549019607843135,79.6477495107632,2,40.62
E01000996,Croydon 009C,Croydon,Outer,1307.0,0.0,0.0,72.66666666666667,5.133928571428571,5,40.61
E01002998,Kingston upon Thames 016D,Kingston upon Thames,Outer,1597.0,5.0,31.308703819661865,75.12437810945273,42.80936454849498,6,40.61
E01002725,Islington 022E,Islington,Inner,1336.0,1.0,7.485029940119761,26.334519572953734,94.46428571428571,3,40.61
E01003828,Richmond upon Thames 020A,Richmond upon Thames,Outer,1519.0,0.0,0.0,87.07592891760905,6.129032258064516,10,40.61
E01004753,Westminster 022E,Westminster,Inner,1755.0,10.0,56.980056980056986,32.75488069414317,91.63043478260869,5,40.6
E01004139,Sutton 013D,Sutton,Outer,1505.0,1.0,6.644518272425249,68.66141732283465,44.23380726698262,7,40.6
E01035498,Wandsworth 038E,Wandsworth,Inner,1316.0,0.0,0.0,26.72811059907834,99.07834101382488,8,40.6
E01000505,Brent 018B,Brent,Outer,1661.0,4.0,24.08187838651415,59.16230366492147,38.17863397548161,4,40.6
E01000248,Barnet 001A,Barnet,Outer,1705.0,5.0,29.325513196480937,74.09470752089136,33.93854748603352,7,40.59
E01001100,Croydon 031E,Croydon,Outer,1547.0,1.0,6.464124111182935,80.09950248756219,30.92436974789916,9,40.56
E01001899,Hammersmith and Fulham 013D,Hammersmith and Fulham,Inner,1634.0,11.0,67.31946144430844,29.6343001261034,86.53113087674714,3,40.56
E01000168,Barnet 003B,Barnet,Outer,1482.0,0.0,0.0,89.06810035842294,0.8960573476702508,9,40.56
E01001030,Croydon 038C,Croydon,Outer,1455.0,0.0,0.0,90.87221095334685,8.536585365853659,10,40.54
E01000709,Bromley 006A,Bromley,Outer,1400.0,1.0,7.142857142857142,63.5743519781719,63.50067842605156,7,40.53
E01003816,Richmond upon Thames 012C,Richmond upon Thames,Outer,1739.0,2.0,11.500862564692351,82.82009724473258,5.6634304207119746,8,40.52
E01000793,Bromley 032D,Bromley,Outer,1552.0,0.0,0.0,87.5993640699523,0.7974481658692184,10,40.51
E01003094,Lambeth 010C,Lambeth,Inner,1530.0,1.0,6.5359477124183005,36.6412213740458,70.73170731707317,4,40.51
E01001452,Enfield 017B,Enfield,Outer,1338.0,0.0,0.0,90.64449064449065,10.58091286307054,9,40.5
E01002018,Haringey 020D,Haringey,Inner,1294.0,1.0,7.727975270479135,61.80904522613066,42.18487394957983,4,40.49
E01004374,Waltham Forest 025C,Waltham Forest,Outer,1944.0,3.0,15.4320987654321,50.991501416430594,32.19858156028369,6,40.49
E01002294,Havering 007B,Havering,Outer,1552.0,1.0,6.443298969072165,83.25434439178515,15.748031496062993,8,40.47
E01035705,Tower Hamlets 036D,Tower Hamlets,Inner,1433.0,10.0,69.78367062107466,42.75491949910555,76.92307692307693,2,40.45
E01004023,Southwark 004D,Southwark,Inner,1578.0,6.0,38.02281368821293,36.427566807313646,78.90295358649789,3,40.44
E01000120,Barnet 009D,Barnet,Outer,1462.0,0.0,0.0,89.1566265060241,2.217741935483871,9,40.44
E01035646,Hackney 026E,Hackney,Inner,1567.0,1.0,6.381620931716656,34.43609022556391,83.48348348348348,5,40.42
E01000863,Camden 021A,Camden,Inner,1503.0,4.0,26.613439787092485,27.23342939481268,83.40548340548341,2,40.41
E01002856,Kensington and Chelsea 004E,Kensington and Chelsea,Inner,1368.0,5.0,36.54970760233918,30.090791180285343,92.85714285714286,2,40.4
E01001832,Hackney 009E,Hackney,Inner,1698.0,3.0,17.667844522968196,39.1025641025641,63.141025641025635,4,40.39
E01000307,Barnet 039D,Barnet,Outer,1641.0,6.0,36.56307129798903,65.03623188405797,20.508166969147005,3,40.38
E01034187,Greenwich 039D,Greenwich,Outer,1245.0,1.0,8.032128514056225,31.616595135908444,97.56446991404012,4,40.38
E01000938,Camden 029A,Camden,Inner,1412.0,2.0,14.164305949008499,18.56,93.13099041533548,2,40.38
E01001122,Croydon 033B,Croydon,Outer,1500.0,0.0,0.0,92.81045751633987,1.9607843137254901,10,40.37
E01004725,Westminster 003B,Westminster,Inner,1331.0,10.0,75.13148009015778,41.979522184300336,97.61092150170649,3,40.36
