lsoa_code,households_total_housing,households_detached,households_semi_detached,households_terraced,households_flats_apartments,households_other_accommodation,pct_flats_apartments,pct_houses
E01002494,634,14,232,314,74,0,11.67192429022082,88.32807570977917
E01002495,701,24,164,359,153,1,21.82596291012839,78.03138373751783
E01002496,774,17,165,247,344,1,44.44444444444444,55.42635658914728
E01002497,989,118,202,83,585,1,59.150657229524775,40.74823053589484
E01002498,526,55,381,47,43,0,8.17490494296578,91.82509505703422
E01002499,680,64,302,57,257,0,37.794117647058826,62.205882352941174
E01002501,512,45,306,94,67,0,13.0859375,86.9140625
E01002502,566,25,332,182,27,0,4.770318021201414,95.22968197879858
E01002503,550,24,274,120,132,0,24.0,76.0
E01002505,660,25,158,164,311,2,47.12121212121212,52.57575757575758
E01002506,653,24,180,33,416,0,63.70597243491577,36.29402756508423
E01002507,549,37,369,83,59,1,10.746812386156648,89.07103825136612
E01002508,708,63,135,202,308,0,43.50282485875706,56.49717514124294
E01002509,506,191,298,10,6,1,1.185770750988142,98.61660079051383
E01002511,642,37,300,205,100,0,15.57632398753894,84.42367601246106
E01002512,769,373,148,60,187,1,24.317295188556567,75.55266579973993
E01002513,584,289,111,7,177,0,30.30821917808219,69.6917808219178
E01002514,883,57,167,193,466,0,52.774631936579844,47.225368063420156
E01002516,496,373,41,19,63,0,12.701612903225806,87.29838709677419
E01002518,488,130,228,54,76,0,15.573770491803279,84.42622950819673
E01002519,957,33,228,117,558,21,58.307210031347964,39.49843260188088
E01002520,783,29,206,177,365,6,46.61558109833972,52.61813537675607
E01002521,1016,32,107,101,772,4,75.98425196850394,23.62204724409449
E01002523,546,27,314,95,110,0,20.146520146520146,79.85347985347985
E01002525,687,135,260,81,211,0,30.71324599708879,69.28675400291121
E01002526,999,37,323,173,465,1,46.546546546546544,53.35335335335335
E01002527,627,99,148,104,203,73,32.37639553429027,55.980861244019145
E01002528,579,27,303,191,57,1,9.844559585492227,89.98272884283247
E01002529,909,53,254,158,444,0,48.84488448844885,51.15511551155115
E01002530,617,14,228,145,230,0,37.27714748784441,62.72285251215559
E01002531,651,154,247,73,176,1,27.035330261136714,72.81105990783409
E01002533,581,35,269,198,79,0,13.59724612736661,86.40275387263338
E01002534,597,181,208,49,159,0,26.633165829145728,73.36683417085426
E01002535,1000,221,113,27,639,0,63.9,36.1
E01002536,588,74,87,187,240,0,40.816326530612244,59.183673469387756
E01002537,1037,214,129,207,487,0,46.962391513982645,53.03760848601736
E01002538,761,163,140,212,246,0,32.32588699080158,67.67411300919842
E01002539,694,308,211,12,162,1,23.34293948126801,76.51296829971182
E01002540,645,43,191,168,241,2,37.36434108527132,62.32558139534884
E01002541,802,158,267,243,134,0,16.708229426433917,83.29177057356608
E01002542,702,20,165,57,460,0,65.52706552706553,34.472934472934476
E01002543,645,21,232,139,253,0,39.224806201550386,60.775193798449614
E01002544,556,101,189,163,101,2,18.165467625899282,81.4748201438849
E01002545,494,31,169,159,135,0,27.327935222672068,72.67206477732793
E01002546,456,35,234,173,14,0,3.070175438596491,96.9298245614035
E01002547,508,33,180,139,148,8,29.133858267716533,69.29133858267717
E01002548,734,48,332,126,224,4,30.517711171662125,68.93732970027247
E01002549,715,42,325,127,219,2,30.629370629370626,69.0909090909091
E01002550,793,17,143,184,448,1,56.49432534678437,43.37957124842371
E01002551,686,22,373,119,172,0,25.072886297376094,74.9271137026239
E01002552,568,50,335,149,34,0,5.985915492957746,94.01408450704226
E01002553,625,26,276,226,95,2,15.2,84.48
E01002555,703,44,406,101,152,0,21.62162162162162,78.37837837837837
E01002556,661,26,333,110,192,0,29.046898638426626,70.95310136157337
E01002557,732,51,268,137,276,0,37.704918032786885,62.295081967213115
E01002558,820,27,239,205,348,1,42.4390243902439,57.4390243902439
E01002559,918,29,341,154,393,1,42.810457516339866,57.08061002178649
E01002560,662,55,397,63,146,1,22.054380664652566,77.79456193353475
E01002561,598,19,134,182,263,0,43.97993311036789,56.020066889632105
E01002562,523,37,193,137,155,1,29.636711281070742,70.17208413001912
E01002563,746,26,155,267,298,0,39.946380697050934,60.05361930294906
E01002564,723,19,167,238,299,0,41.35546334716459,58.64453665283541
E01002565,1055,22,130,272,631,0,59.810426540284354,40.18957345971564
E01002567,872,25,86,364,393,4,45.06880733944954,54.47247706422018
E01002569,963,13,41,449,459,1,47.66355140186916,52.232606438213914
E01002570,668,11,92,129,436,0,65.26946107784431,34.73053892215569
E01002571,588,44,78,218,236,12,40.136054421768705,57.82312925170068
E01002572,619,9,76,125,409,0,66.07431340872375,33.925686591276246
E01002573,638,41,214,103,279,1,43.73040752351097,56.112852664576806
E01002574,687,10,157,102,418,0,60.84425036390102,39.15574963609898
E01002575,665,15,251,66,333,0,50.07518796992482,49.92481203007519
E01002576,703,46,139,76,442,0,62.87339971550497,37.12660028449502
E01002577,680,38,198,70,374,0,55.00000000000001,45.0
E01002578,591,65,249,102,175,0,29.610829103214893,70.38917089678512
E01002579,771,44,187,153,384,3,49.80544747081712,49.80544747081712
E01002580,681,14,48,121,497,1,72.98091042584434,26.87224669603524
E01002581,841,19,62,222,538,0,63.97146254458978,36.02853745541022
E01002582,694,19,101,375,199,0,28.674351585014406,71.3256484149856
E01002583,535,84,225,91,135,0,25.233644859813083,74.76635514018692
E01002584,635,96,172,176,190,1,29.92125984251969,69.92125984251969
E01002585,521,39,249,129,104,0,19.961612284069098,80.03838771593091
E01002586,500,35,211,215,39,0,7.8,92.2
E01002587,738,31,305,159,243,0,32.926829268292686,67.07317073170732
E01002588,745,44,64,139,498,0,66.84563758389261,33.15436241610738
E01002589,814,28,215,166,405,0,49.75429975429975,50.24570024570024
E01002590,1000,73,280,103,544,0,54.400000000000006,45.6
E01002591,609,32,213,338,26,0,4.269293924466338,95.73070607553366
E01002592,775,30,166,190,389,0,50.193548387096776,49.806451612903224
E01002593,697,45,351,88,194,19,27.83357245337159,69.44045911047347
E01002594,647,57,337,220,33,0,5.1004636785162285,94.89953632148377
E01002595,713,63,342,110,198,0,27.769985974754558,72.23001402524544
E01002596,757,15,130,159,452,1,59.709379128137385,40.158520475561424
E01002598,657,28,243,212,174,0,26.48401826484018,73.51598173515981
E01002599,558,9,162,286,101,0,18.100358422939067,81.89964157706093
E01002600,512,13,396,82,21,0,4.1015625,95.8984375
E01002601,665,19,185,198,263,0,39.54887218045113,60.45112781954888
E01002602,551,40,169,312,30,0,5.44464609800363,94.55535390199637
E01002603,645,43,255,283,64,0,9.922480620155039,90.07751937984496
E01002604,554,17,100,126,309,2,55.77617328519856,43.86281588447653
E01002605,831,18,244,182,386,1,46.450060168471715,53.42960288808665
E01002606,617,8,133,137,339,0,54.94327390599676,45.05672609400324
E01002607,777,28,245,352,151,1,19.433719433719435,80.43758043758044
E01002608,665,30,253,113,268,1,40.30075187969925,59.54887218045113
E01002609,662,41,224,335,61,1,9.214501510574017,90.6344410876133
E01002610,634,37,256,56,285,0,44.952681388012614,55.047318611987386
E01002611,676,79,340,179,76,2,11.242603550295858,88.46153846153845
E01002612,823,63,186,81,491,2,59.65978128797084,40.09720534629405
E01002613,630,18,316,134,162,0,25.71428571428571,74.28571428571429
E01002614,820,43,175,245,356,1,43.41463414634146,56.46341463414634
E01002615,635,14,102,92,426,1,67.08661417322834,32.75590551181102
E01002616,567,35,286,114,131,1,23.10405643738977,76.71957671957672
E01002617,637,105,198,221,112,1,17.582417582417584,82.26059654631082
E01002618,559,30,463,20,46,0,8.228980322003578,91.77101967799642
E01002619,633,52,381,71,128,1,20.221169036334913,79.62085308056872
E01002620,899,39,182,90,587,1,65.29477196885428,34.59399332591769
E01002621,606,32,294,80,200,0,33.003300330033,66.996699669967
E01002622,571,24,306,82,158,1,27.670753064798596,72.15411558669001
E01002623,545,23,293,101,128,0,23.486238532110093,76.5137614678899
E01002624,516,27,191,83,215,0,41.66666666666667,58.333333333333336
E01002625,488,34,312,115,27,0,5.532786885245901,94.4672131147541
E01002626,484,36,325,39,83,1,17.148760330578515,82.64462809917356
E01002627,607,22,68,120,397,0,65.40362438220758,34.596375617792425
E01002628,652,57,298,139,158,0,24.233128834355828,75.76687116564416
E01002629,883,79,301,59,444,0,50.28312570781427,49.71687429218573
E01002630,680,36,283,61,300,0,44.11764705882353,55.88235294117647
E01002631,560,38,239,153,128,2,22.857142857142858,76.78571428571429
E01002632,627,41,373,28,185,0,29.505582137161085,70.49441786283892
E01002633,744,16,195,154,355,24,47.715053763440864,49.05913978494624
E01002634,540,19,94,82,345,0,63.888888888888886,36.11111111111111
E01002635,556,22,354,60,118,2,21.223021582733814,78.41726618705036
E01002636,618,44,292,230,52,0,8.414239482200648,91.58576051779936
E01002637,614,30,61,167,342,14,55.700325732899024,42.01954397394137
E01002638,618,24,205,126,263,0,42.55663430420712,57.44336569579288
E01002639,546,39,360,57,89,1,16.3003663003663,83.51648351648352
E01002640,621,81,250,196,94,0,15.136876006441224,84.86312399355877
E01002641,985,62,152,95,675,1,68.52791878172589,31.370558375634516
E01002643,1047,30,271,146,598,2,57.115568290353394,42.693409742120345
E01002645,777,60,171,248,298,0,38.35263835263835,61.64736164736164
E01002646,750,31,159,101,459,0,61.199999999999996,38.800000000000004
E01002647,757,46,248,290,173,0,22.85336856010568,77.14663143989432
E01002649,731,48,147,150,383,3,52.39398084815321,47.19562243502052
E01002650,790,27,268,134,357,4,45.18987341772152,54.30379746835443
E01002651,564,41,261,131,131,0,23.22695035460993,76.77304964539007
E01002652,568,57,291,76,144,0,25.352112676056336,74.64788732394366
E01002653,599,55,427,59,57,1,9.515859766277128,90.31719532554257
E01002654,657,24,267,293,72,1,10.95890410958904,88.88888888888889
E01002655,627,36,371,88,132,0,21.052631578947366,78.94736842105263
E01002656,522,40,338,91,53,0,10.153256704980842,89.84674329501917
E01002657,681,89,309,131,152,0,22.3201174743025,77.67988252569751
E01002658,496,30,301,43,122,0,24.596774193548388,75.40322580645162
E01002659,513,27,222,188,76,0,14.814814814814813,85.18518518518519
E01002660,615,62,275,90,188,0,30.569105691056908,69.4308943089431
E01002661,617,40,233,191,139,14,22.52836304700162,75.20259319286872
E01002662,916,42,350,42,479,3,52.29257641921398,47.379912663755455
E01002663,691,58,147,167,319,0,46.164978292329955,53.83502170767004
E01002665,566,31,228,94,213,0,37.63250883392226,62.36749116607774
E01002666,482,27,286,55,114,0,23.651452282157674,76.34854771784232
E01002667,914,15,96,258,544,1,59.51859956236324,40.37199124726477
E01002668,979,24,96,286,573,0,58.5291113381001,41.4708886618999
E01002669,709,20,196,258,235,0,33.14527503526093,66.85472496473906
E01002670,723,30,283,147,262,1,36.23789764868603,63.6237897648686
E01002671,666,28,247,353,38,0,5.7057057057057055,94.29429429429429
E01002672,660,6,39,68,546,1,82.72727272727273,17.12121212121212
E01002673,585,2,6,7,568,2,97.09401709401709,2.564102564102564
E01002674,748,50,241,147,310,0,41.44385026737968,58.55614973262032
E01002675,875,47,377,122,328,1,37.48571428571428,62.4
E01002676,561,62,336,27,136,0,24.242424242424242,75.75757575757575
E01002677,837,33,138,91,574,1,68.57825567502987,31.30227001194743
E01002678,763,111,292,36,323,1,42.33289646133683,57.536041939711666
E01002679,623,24,321,28,249,1,39.96789727126806,59.87158908507223
E01002680,742,110,214,41,376,1,50.673854447439346,49.19137466307278
E01002681,873,27,150,246,450,0,51.546391752577314,48.45360824742268
E01002682,897,23,183,280,410,1,45.70791527313266,54.18060200668896
E01002686,669,26,214,197,232,0,34.67862481315397,65.32137518684604
E01002687,763,42,73,52,595,1,77.98165137614679,21.887287024901703
E01002689,756,3,30,383,340,0,44.97354497354497,55.026455026455025
E01002690,587,28,203,73,283,0,48.21124361158432,51.78875638841567
E01002691,586,17,122,307,140,0,23.890784982935152,76.10921501706484
E01002692,1014,25,74,50,860,5,84.81262327416174,14.694280078895464
E01002693,885,9,84,208,582,2,65.76271186440678,34.01129943502825
E01002694,667,2,6,34,625,0,93.7031484257871,6.296851574212893
E01002695,744,3,4,12,724,1,97.31182795698925,2.553763440860215
E01002696,860,8,11,200,641,0,74.53488372093024,25.465116279069765
E01002697,825,4,2,14,803,2,97.33333333333334,2.4242424242424243
E01002698,1037,14,43,82,898,0,86.59594985535198,13.404050144648021
E01002699,741,3,15,197,525,1,70.8502024291498,29.01484480431849
E01002700,609,12,57,259,280,1,45.97701149425287,53.858784893267654
E01002701,678,3,3,6,666,0,98.23008849557522,1.7699115044247788
E01002702,1111,3,4,11,1093,0,98.37983798379838,1.6201620162016201
E01002703,1126,1,3,4,1118,0,99.28952042628775,0.7104795737122558
E01002704,1123,4,6,11,1101,1,98.04096170970614,1.8699910952804988
E01002706,913,4,1,16,891,1,97.59036144578313,2.3001095290251916
E01002707,889,3,9,44,831,2,93.47581552305961,6.299212598425196
E01002708,1001,5,23,91,881,1,88.01198801198801,11.888111888111888
E01002709,699,20,34,107,538,0,76.96709585121603,23.032904148783977
E01002710,644,5,18,86,535,0,83.07453416149069,16.925465838509314
E01002711,962,6,6,66,862,22,89.6049896049896,8.108108108108109
E01002712,611,4,53,73,481,0,78.72340425531915,21.27659574468085
E01002713,1052,13,33,186,820,0,77.9467680608365,22.0532319391635
E01002714,719,5,13,157,544,0,75.6606397774687,24.33936022253129
E01002715,683,4,5,14,659,1,96.48609077598829,3.3674963396778916
E01002716,1032,13,30,86,903,0,87.5,12.5
E01002717,534,6,88,35,405,0,75.84269662921348,24.15730337078652
E01002718,749,6,36,123,584,0,77.97062750333778,22.029372496662216
E01002719,687,8,55,126,498,0,72.48908296943232,27.510917030567683
E01002720,933,9,23,58,843,0,90.35369774919614,9.646302250803858
E01002721,800,2,16,57,724,1,90.5,9.375
E01002722,698,10,43,49,595,1,85.24355300859598,14.613180515759314
E01002723,734,8,9,55,662,0,90.19073569482289,9.809264305177113
E01002724,963,4,5,47,907,0,94.18483904465212,5.815160955347872
E01002725,560,3,5,23,529,0,94.46428571428571,5.535714285714286
E01002726,788,2,5,38,743,0,94.28934010152284,5.710659898477157
E01002727,801,2,6,37,756,0,94.3820224719101,5.617977528089887
E01002728,439,3,1,5,430,0,97.9498861047836,2.050113895216401
E01002729,656,10,19,126,501,0,76.3719512195122,23.628048780487802
E01002730,793,8,20,137,626,2,78.94073139974779,20.80706179066835
E01002732,816,10,24,120,659,3,80.75980392156863,18.872549019607842
E01002733,606,4,15,145,442,0,72.93729372937293,27.062706270627064
E01002734,935,4,6,31,893,1,95.50802139037432,4.385026737967915
E01002735,1131,4,12,107,1007,1,89.03625110521662,10.875331564986737
E01002736,575,9,22,55,488,1,84.86956521739131,14.956521739130435
E01002737,758,4,21,63,670,0,88.39050131926122,11.609498680738787
E01002738,847,12,60,109,666,0,78.63046044864227,21.369539551357732
E01002739,817,9,18,294,496,0,60.709914320685435,39.290085679314565
E01002740,980,21,61,229,669,0,68.26530612244898,31.734693877551017
E01002741,637,1,7,44,585,0,91.83673469387756,8.16326530612245
E01002742,715,7,17,297,394,0,55.1048951048951,44.89510489510489
E01002743,628,1,11,98,518,0,82.48407643312102,17.51592356687898
E01002744,674,4,28,78,560,4,83.08605341246292,16.320474777448073
E01002745,681,12,65,78,526,0,77.23935389133626,22.760646108663728
E01002747,649,3,25,299,322,0,49.61479198767334,50.38520801232666
E01002748,691,15,19,123,529,5,76.55571635311144,22.720694645441387
E01002749,598,10,22,144,422,0,70.5685618729097,29.431438127090303
E01002751,873,3,5,45,820,0,93.92898052691866,6.0710194730813285
E01002752,702,10,19,87,585,1,83.33333333333334,16.524216524216524
E01002753,628,8,16,117,486,1,77.38853503184714,22.452229299363058
E01002754,631,12,27,191,401,0,63.54992076069731,36.450079239302696
E01002755,612,6,25,27,553,1,90.359477124183,9.477124183006536
E01002756,584,10,26,80,468,0,80.13698630136986,19.863013698630137
E01002757,597,3,13,130,450,1,75.37688442211056,24.455611390284755
E01002758,756,7,5,10,733,1,96.95767195767195,2.91005291005291
E01002759,618,10,31,258,319,0,51.61812297734628,48.381877022653725
E01002760,689,5,15,84,584,1,84.76052249637155,15.09433962264151
E01002762,861,5,44,50,760,2,88.26945412311265,11.498257839721255
E01002763,572,3,31,93,445,0,77.7972027972028,22.202797202797203
E01002764,796,19,44,63,669,1,84.04522613065326,15.829145728643216
E01002765,1073,9,48,139,877,0,81.73345759552656,18.266542404473437
E01002766,933,16,14,71,832,0,89.17470525187568,10.82529474812433
E01002767,946,6,22,74,844,0,89.21775898520085,10.782241014799155
E01002768,845,4,10,66,765,0,90.53254437869822,9.467455621301776
E01002769,707,6,45,226,429,1,60.67892503536068,39.17963224893918
E01002770,909,4,22,118,765,0,84.15841584158416,15.841584158415841
E01002771,672,2,20,95,555,0,82.58928571428571,17.410714285714285
E01002772,873,4,34,123,712,0,81.55784650630011,18.442153493699887
E01002773,685,3,28,24,628,2,91.67883211678833,8.02919708029197
E01002774,1028,6,19,115,888,0,86.38132295719845,13.618677042801556
E01002775,662,6,23,66,567,0,85.64954682779457,14.350453172205437
E01002776,889,5,33,131,720,0,80.98987626546682,19.01012373453318
E01002777,763,5,23,88,646,1,84.66579292267366,15.203145478374836
E01002778,755,6,21,30,698,0,92.45033112582782,7.549668874172186
E01002779,778,3,14,87,673,1,86.50385604113112,13.367609254498714
E01002780,766,7,9,129,620,1,80.93994778067885,18.929503916449086
E01002781,644,6,9,26,603,0,93.63354037267081,6.366459627329192
E01002782,559,12,10,49,487,1,87.11985688729875,12.701252236135957
E01002783,796,7,7,19,762,1,95.7286432160804,4.1457286432160805
E01002784,755,9,11,94,641,0,84.90066225165563,15.099337748344372
E01002785,780,10,73,191,505,1,64.74358974358975,35.128205128205124
E01002786,887,1,12,35,838,1,94.47576099210822,5.411499436302142
E01002787,623,3,5,22,593,0,95.18459069020867,4.815409309791333
E01002788,888,6,12,96,772,2,86.93693693693693,12.837837837837837
E01002789,780,11,54,186,529,0,67.82051282051282,32.17948717948718
E01002790,692,1,12,66,612,1,88.4393063583815,11.416184971098266
E01002791,851,8,17,165,661,0,77.67332549941246,22.326674500587544
E01002792,881,8,23,160,690,0,78.32009080590238,21.679909194097615
E01002793,900,3,7,44,846,0,94.0,6.0
E01002794,1014,10,25,206,772,1,76.13412228796844,23.767258382642996
E01002795,855,14,60,98,683,0,79.88304093567251,20.116959064327485
E01002796,505,6,13,131,354,1,70.0990099009901,29.7029702970297
E01002797,873,9,25,89,749,1,85.79610538373424,14.0893470790378
E01002798,895,4,47,408,435,1,48.60335195530726,51.28491620111731
E01002799,857,2,12,59,781,3,91.1318553092182,8.518086347724621
E01002800,795,15,62,72,646,0,81.25786163522012,18.742138364779873
E01002801,757,6,15,214,522,0,68.95640686922061,31.04359313077939
